title,url,raw_price,description
https://www.sauto.cz/osobni/detail/skoda/octavia/209829966,"Škoda Octavia,
2,0 TDI Combi Style Plus TAŽNÉ",434 000 Kč,"2021, 143 164 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/skoda/octavia/209829963,"Škoda Octavia,
2,0 TDI DSG Style Plus TAŽNÉ",599 000 Kč,"2022, 77 162 km, Nafta, Automatická"
https://www.sauto.cz/osobni/detail/skoda/octavia/209818452,"Škoda Octavia,
2,0 TDI DSG First Ultimate ACC",684 000 Kč,"2024, 42 910 km, Nafta, Automatická"
https://www.sauto.cz/osobni/detail/volkswagen/tiguan/209812719,"Volkswagen Tiguan,
1,5 TSI Life LED+ACC+Kamera",540 000 Kč,"2022, 49 080 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/volkswagen/caddy/209812716,"Volkswagen Caddy,
2,0 TDI DSG PDC Maxi Style",599 000 Kč,"2023, 142 378 km, Nafta, Automatická"
https://www.sauto.cz/osobni/detail/skoda/superb/209812713,"Škoda Superb,
1,5 TSI Style DSG NAVI+ACC",525 000 Kč,"2022, 131 650 km, Benzín, Automatická"
https://www.sauto.cz/osobni/detail/skoda/octavia/209812710,"Škoda Octavia,
2,0 TDI Ambition Plus TAŽNÉ",339 000 Kč,"2021, 181 878 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/skoda/karoq/209812707,"Škoda Karoq,
2,0 TDI Style TAŽNÉ+ACC+LED",485 000 Kč,"2021, 88 495 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/skoda/karoq/209812704,"Škoda Karoq,
2,0 TDI Ambition LED+Kamera",475 000 Kč,"2020, 78 050 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/kia/cee-d/209812701,"Kia Cee´d,
1,5 T-GDI SW Top PDC+Kamera",384 000 Kč,"2021, 62 007 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/kia/cee-d/209812698,"Kia Cee´d,
1,0 T-GDI SW Fresh PDC+AC",289 000 Kč,"2022, 163 084 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/hyundai/i30/209812695,"Hyundai i30,
1,5 CVVT Comfort PDC+AC",325 000 Kč,"2022, 68 691 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/skoda/octavia/209800992,"Škoda Octavia,
2,0 TDI DSG Top Selection ACC",634 000 Kč,"2024, 52 136 km, Nafta, Automatická"
https://www.sauto.cz/osobni/detail/skoda/fabia/209800989,"Škoda Fabia,
1,0 TSI Ambition PDC+Klima",315 000 Kč,"2021, 35 512 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/skoda/scala/209794797,"Škoda Scala,
1,0 TSI Style Extra Komfort",300 000 Kč,"2021, 151 371 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/skoda/scala/209794794,"Škoda Scala,
1,0 TSI Style Extra Komfort",329 000 Kč,"2021, 111 060 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/skoda/scala/209794791,"Škoda Scala,
1,0 TSI Style Extra Komfort",309 000 Kč,"2021, 138 931 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/skoda/scala/209794788,"Škoda Scala,
1,0 TSI Style Extra Komfort",315 000 Kč,"2021, 130 876 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/kia/sportage/209794785,"Kia Sportage,
1,6 T-GDI 4x4 MHEV DCT GT Line",675 000 Kč,"2023, 73 841 km, Benzín, Automatická"
https://www.sauto.cz/osobni/detail/volvo/xc90/209720544,"Volvo XC90,
B5 AWD AUT BRIGHT ULTRA 7 míst",1 959 000 Kč,"2026, 0 km, Benzín, Automatická"
https://www.sauto.cz/osobni/detail/volkswagen/tiguan/209778234,"Volkswagen Tiguan,
1,5 TSI ACT Life Kamera+ACC",564 000 Kč,"2022, 52 598 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/volkswagen/arteon-shooting-brake/209778231,"Volkswagen Arteon Shooting Brake,
2,0 TDI DSG Elegance DCC",624 000 Kč,"2021, 102 403 km, Nafta, Automatická"
https://www.sauto.cz/osobni/detail/skoda/superb/209778228,"Škoda Superb,
2,0 TDI 4x4 DSG Style TAŽNÉ",799 000 Kč,"2023, 55 643 km, Nafta, Automatická"
https://www.sauto.cz/osobni/detail/skoda/scala/209778225,"Škoda Scala,
1,0 TSI Style Extra PDC+AutoAC",319 000 Kč,"2021, 124 526 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/skoda/scala/209778216,"Škoda Scala,
1,0 TSI Ambition PDC+AC+TPM",289 000 Kč,"2020, 42 503 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/skoda/octavia/209778213,"Škoda Octavia,
2,0 TDI Combi Ambition Plus",380 000 Kč,"2020, 115 974 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/skoda/octavia/209778210,"Škoda Octavia,
2,0 TDI Combi Ambition Plus",384 000 Kč,"2021, 142 489 km, Nafta, Manuální"
https://www.sauto.cz/osobni/detail/skoda/octavia/209778207,"Škoda Octavia,
2,0 TDI DSG Style Plus ACC+LED",499 000 Kč,"2022, 84 898 km, Nafta, Automatická"
https://www.sauto.cz/osobni/detail/volkswagen/tiguan/209772966,"Volkswagen Tiguan,
1,5 TSI ACT Life Kamera+NAVI",570 000 Kč,"2022, 37 576 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/skoda/scala/209772960,"Škoda Scala,
1,0 TSI Style Extra Komfort",339 000 Kč,"2021, 86 497 km, Benzín, Manuální"
https://www.sauto.cz/osobni/detail/skoda/octavia/209772957,"Škoda Octavia,
2,0 TDI Combi Ambition Plus",474 000 Kč,"2022, 57 458 km, Nafta, Manuální"
