title,url,raw_price,description,price,year,mileage,fuel,transmission,brand
https://www.sauto.cz/osobni/detail/bmw/rada-5/209792679,"BMW Řada 5,
530D, xDrive, Individual",635 000 Kč,"2019, 210 000 km, Nafta, Automatická",635000.0,2019.0,210000.0,Nafta,Automatická,https://www.sauto.cz/osobni/detail/bmw/rada-5/209792679
https://www.sauto.cz/osobni/detail/kia/cee-d/209862444,"Kia Cee´d,
1.6CRDi,Navi,AC",259 000 Kč,"2016, 120 847 km, Nafta, Manuální",259000.0,2016.0,120847.0,Nafta,Manuální,https://www.sauto.cz/osobni/detail/kia/cee-d/209862444
https://www.sauto.cz/osobni/detail/hyundai/i30/209828448,"Hyundai i30,
1.5i,1.maj,ČR,LED,navi",400 000 Kč,"2025, 29 994 km, Benzín, Manuální",400000.0,2025.0,29994.0,Benzín,Manuální,https://www.sauto.cz/osobni/detail/hyundai/i30/209828448
https://www.sauto.cz/osobni/detail/hyundai/i30/209764566,"Hyundai i30,
1.4 T-GDi Fastback,ČR",285 000 Kč,"2019, 97 119 km, Benzín, Manuální",285000.0,2019.0,97119.0,Benzín,Manuální,https://www.sauto.cz/osobni/detail/hyundai/i30/209764566
https://www.sauto.cz/osobni/detail/hyundai/i30/209686071,"Hyundai i30,
1.0 i,2.maj,ČR,AC",210 000 Kč,"2017, 137 583 km, Benzín, Manuální",210000.0,2017.0,137583.0,Benzín,Manuální,https://www.sauto.cz/osobni/detail/hyundai/i30/209686071
https://www.sauto.cz/osobni/detail/hyundai/i30/209421753,"Hyundai i30,
1.4 T-GDi,1.maj,ČR,Comfort",250 000 Kč,"2019, 133 720 km, Benzín, Manuální",250000.0,2019.0,133720.0,Benzín,Manuální,https://www.sauto.cz/osobni/detail/hyundai/i30/209421753
https://www.sauto.cz/osobni/detail/hyundai/i30/209855691,"Hyundai i30,
1.6CRDi,Smart,+pneu",270 000 Kč,"2021, 137 293 km, Nafta, Manuální",270000.0,2021.0,137293.0,Nafta,Manuální,https://www.sauto.cz/osobni/detail/hyundai/i30/209855691
https://www.sauto.cz/osobni/detail/skoda/octavia/209735748,"Škoda Octavia,
2.0d,2.maj,ČR",190 000 Kč,"2014, 234 560 km, Nafta, Manuální",190000.0,2014.0,234560.0,Nafta,Manuální,https://www.sauto.cz/osobni/detail/skoda/octavia/209735748
https://www.sauto.cz/osobni/detail/skoda/octavia/209849043,"Škoda Octavia,
2.0 TDi,2.maj,ČR,LED,navi",275 000 Kč,"2017, 170 627 km, Nafta, Manuální",275000.0,2017.0,170627.0,Nafta,Manuální,https://www.sauto.cz/osobni/detail/skoda/octavia/209849043
https://www.sauto.cz/osobni/detail/skoda/octavia/209793522,"Škoda Octavia,
2.0 TDi,ČR,LED,AC",289 000 Kč,"2020, 202 241 km, Nafta, Manuální",289000.0,2020.0,202241.0,Nafta,Manuální,https://www.sauto.cz/osobni/detail/skoda/octavia/209793522
